id,name,base_experience,height,weight,types,abilities,moves,hp,attack,defense,special-attack,special-defense,speed,total_stats,primary_type,secondary_type,height_m,weight_kg,bmi,atk_def_ratio,sp_atk_sp_def_ratio
285,shroomish,59,4,45,grass,"effect-spore, poison-heal, quick-feet","swords-dance, headbutt, tackle, body-slam, take-down",60.0,40.0,60.0,40.0,60.0,35.0,295.0,grass,,0.4,4.5,28.124999999999993,0.6666666666666666,0.6666666666666666
286,breloom,161,12,392,"grass, fighting","effect-spore, poison-heal, technician","mega-punch, thunder-punch, swords-dance, cut, mega-kick",60.0,130.0,80.0,60.0,60.0,70.0,460.0,grass,fighting,1.2,39.2,27.222222222222225,1.625,1.0
287,slakoth,56,8,240,normal,truant,"mega-punch, fire-punch, ice-punch, thunder-punch, scratch",60.0,60.0,60.0,35.0,35.0,30.0,280.0,normal,,0.8,24.0,37.49999999999999,1.0,1.0
288,vigoroth,154,14,465,normal,vital-spirit,"mega-punch, fire-punch, ice-punch, thunder-punch, scratch",80.0,80.0,80.0,55.0,55.0,90.0,440.0,normal,,1.4,46.5,23.72448979591837,1.0,1.0
289,slaking,252,20,1305,normal,truant,"mega-punch, fire-punch, ice-punch, thunder-punch, scratch",150.0,160.0,100.0,95.0,65.0,100.0,670.0,normal,,2.0,130.5,32.625,1.6,1.4615384615384615
290,nincada,53,5,55,"bug, ground","compound-eyes, run-away","scratch, cut, gust, sand-attack, double-edge",31.0,45.0,90.0,30.0,30.0,40.0,266.0,bug,ground,0.5,5.5,22.0,0.5,1.0
291,ninjask,160,8,120,"bug, flying","speed-boost, infiltrator","scratch, swords-dance, cut, sand-attack, double-edge",61.0,90.0,45.0,50.0,50.0,160.0,456.0,bug,flying,0.8,12.0,18.749999999999996,2.0,1.0
292,shedinja,83,8,12,"bug, ghost",wonder-guard,"scratch, cut, sand-attack, double-edge, hyper-beam",1.0,90.0,45.0,30.0,30.0,40.0,236.0,bug,ghost,0.8,1.2,1.8749999999999996,2.0,1.0
293,whismur,48,6,163,normal,"soundproof, rattled","pound, mega-punch, fire-punch, ice-punch, thunder-punch",64.0,51.0,23.0,51.0,23.0,28.0,240.0,normal,,0.6,16.3,45.27777777777778,2.217391304347826,2.217391304347826
294,loudred,126,10,405,normal,"soundproof, scrappy","pound, mega-punch, fire-punch, ice-punch, thunder-punch",84.0,71.0,43.0,71.0,43.0,48.0,360.0,normal,,1.0,40.5,40.5,1.6511627906976745,1.6511627906976745
295,exploud,221,15,840,normal,"soundproof, scrappy","pound, mega-punch, fire-punch, ice-punch, thunder-punch",104.0,91.0,63.0,91.0,73.0,68.0,490.0,normal,,1.5,84.0,37.333333333333336,1.4444444444444444,1.2465753424657535
296,makuhita,47,10,864,fighting,"thick-fat, guts, sheer-force","mega-punch, fire-punch, ice-punch, thunder-punch, whirlwind",72.0,60.0,30.0,20.0,30.0,25.0,237.0,fighting,,1.0,86.4,86.4,2.0,0.6666666666666666
297,hariyama,166,23,2538,fighting,"thick-fat, guts, sheer-force","mega-punch, fire-punch, ice-punch, thunder-punch, whirlwind",144.0,120.0,60.0,40.0,60.0,50.0,474.0,fighting,,2.3,253.8,47.977315689981104,2.0,0.6666666666666666
298,azurill,38,2,20,"normal, fairy","thick-fat, huge-power, sap-sipper","slam, headbutt, body-slam, take-down, double-edge",50.0,20.0,40.0,20.0,40.0,20.0,190.0,normal,fairy,0.2,2.0,49.99999999999999,0.5,0.5
299,nosepass,75,10,970,rock,"sturdy, magnet-pull, sand-force","fire-punch, ice-punch, thunder-punch, headbutt, tackle",30.0,45.0,135.0,45.0,90.0,30.0,375.0,rock,,1.0,97.0,97.0,0.3333333333333333,0.5
300,skitty,52,6,110,normal,"cute-charm, normalize, wonder-skin","double-slap, headbutt, tackle, body-slam, double-edge",50.0,45.0,45.0,35.0,35.0,50.0,260.0,normal,,0.6,11.0,30.555555555555557,1.0,1.0
301,delcatty,140,11,326,normal,"cute-charm, normalize, wonder-skin","double-slap, headbutt, tackle, body-slam, double-edge",70.0,65.0,65.0,55.0,55.0,90.0,400.0,normal,,1.1,32.6,26.942148760330575,1.0,1.0
302,sableye,133,5,110,"dark, ghost","keen-eye, stall, prankster","mega-punch, fire-punch, ice-punch, thunder-punch, scratch",50.0,75.0,75.0,65.0,65.0,50.0,380.0,dark,ghost,0.5,11.0,44.0,1.0,1.0
303,mawile,133,6,115,"steel, fairy","hyper-cutter, intimidate, sheer-force","mega-punch, ice-punch, thunder-punch, vice-grip, swords-dance",50.0,85.0,85.0,55.0,55.0,50.0,380.0,steel,fairy,0.6,11.5,31.944444444444446,1.0,1.0
304,aron,66,4,600,"steel, rock","sturdy, rock-head, heavy-metal","cut, stomp, headbutt, tackle, body-slam",50.0,70.0,100.0,40.0,40.0,30.0,330.0,steel,rock,0.4,60.0,374.99999999999994,0.7,1.0
305,lairon,151,9,1200,"steel, rock","sturdy, rock-head, heavy-metal","cut, headbutt, tackle, body-slam, take-down",60.0,90.0,140.0,50.0,50.0,40.0,430.0,steel,rock,0.9,120.0,148.14814814814815,0.6428571428571429,1.0
306,aggron,239,21,3600,"steel, rock","sturdy, rock-head, heavy-metal","mega-punch, fire-punch, ice-punch, thunder-punch, cut",70.0,110.0,180.0,60.0,60.0,50.0,530.0,steel,rock,2.1,360.0,81.63265306122449,0.6111111111111112,1.0
307,meditite,56,6,112,"fighting, psychic","pure-power, telepathy","pound, mega-punch, fire-punch, ice-punch, thunder-punch",30.0,40.0,55.0,40.0,55.0,60.0,280.0,fighting,psychic,0.6,11.2,31.11111111111111,0.7272727272727273,0.7272727272727273
308,medicham,144,13,315,"fighting, psychic","pure-power, telepathy","pound, mega-punch, fire-punch, ice-punch, thunder-punch",60.0,60.0,75.0,60.0,75.0,80.0,410.0,fighting,psychic,1.3,31.5,18.63905325443787,0.8,0.8
309,electrike,59,6,152,electric,"static, lightning-rod, minus","headbutt, tackle, body-slam, double-edge, leer",40.0,45.0,40.0,65.0,40.0,65.0,295.0,electric,,0.6,15.2,42.22222222222222,1.125,1.625
310,manectric,166,15,402,electric,"static, lightning-rod, minus","headbutt, tackle, body-slam, double-edge, leer",70.0,75.0,60.0,105.0,60.0,105.0,475.0,electric,,1.5,40.2,17.866666666666667,1.25,1.75
311,plusle,142,4,42,electric,"plus, lightning-rod","mega-punch, thunder-punch, mega-kick, headbutt, body-slam",60.0,50.0,40.0,85.0,75.0,95.0,405.0,electric,,0.4,4.2,26.249999999999996,1.25,1.1333333333333333
312,minun,142,4,42,electric,"minus, volt-absorb","mega-punch, thunder-punch, mega-kick, headbutt, body-slam",60.0,40.0,50.0,75.0,85.0,95.0,405.0,electric,,0.4,4.2,26.249999999999996,0.8,0.8823529411764706
313,volbeat,151,7,177,bug,"illuminate, swarm, prankster","mega-punch, ice-punch, thunder-punch, mega-kick, tackle",65.0,73.0,75.0,47.0,85.0,85.0,430.0,bug,,0.7,17.7,36.12244897959184,0.9733333333333334,0.5529411764705883
314,illumise,151,6,177,bug,"oblivious, tinted-lens, prankster","mega-punch, ice-punch, thunder-punch, mega-kick, tackle",65.0,47.0,75.0,73.0,85.0,85.0,430.0,bug,,0.6,17.7,49.166666666666664,0.6266666666666667,0.8588235294117647
315,roselia,140,3,20,"grass, poison","natural-cure, poison-point, leaf-guard","swords-dance, cut, body-slam, double-edge, poison-sting",50.0,60.0,45.0,100.0,80.0,65.0,400.0,grass,poison,0.3,2.0,22.22222222222222,1.3333333333333333,1.25
316,gulpin,60,4,103,poison,"liquid-ooze, sticky-hold, gluttony","pound, fire-punch, ice-punch, thunder-punch, swords-dance",70.0,43.0,53.0,43.0,53.0,40.0,302.0,poison,,0.4,10.3,64.37499999999999,0.8113207547169812,0.8113207547169812
317,swalot,163,17,800,poison,"liquid-ooze, sticky-hold, gluttony","pound, fire-punch, ice-punch, thunder-punch, swords-dance",100.0,73.0,83.0,73.0,83.0,55.0,467.0,poison,,1.7,80.0,27.68166089965398,0.8795180722891566,0.8795180722891566
318,carvanha,61,8,208,"water, dark","rough-skin, speed-boost","take-down, thrash, double-edge, leer, bite",45.0,90.0,20.0,65.0,20.0,65.0,305.0,water,dark,0.8,20.8,32.49999999999999,4.5,3.25
319,sharpedo,161,18,888,"water, dark","rough-skin, speed-boost","take-down, double-edge, leer, bite, roar",70.0,120.0,40.0,95.0,40.0,95.0,460.0,water,dark,1.8,88.8,27.407407407407405,3.0,2.375
320,wailmer,80,20,1300,water,"water-veil, oblivious, pressure","headbutt, body-slam, thrash, double-edge, growl",130.0,70.0,35.0,70.0,35.0,60.0,400.0,water,,2.0,130.0,32.5,2.0,2.0
321,wailord,175,145,3980,water,"water-veil, oblivious, pressure","headbutt, body-slam, double-edge, growl, roar",170.0,90.0,45.0,90.0,45.0,60.0,500.0,water,,14.5,398.0,1.8929845422116527,2.0,2.0
322,numel,61,7,240,"fire, ground","oblivious, simple, own-tempo","stomp, headbutt, tackle, body-slam, take-down",60.0,60.0,40.0,65.0,45.0,35.0,305.0,fire,ground,0.7,24.0,48.9795918367347,1.5,1.4444444444444444
323,camerupt,161,19,2200,"fire, ground","magma-armor, solid-rock, anger-point","headbutt, tackle, body-slam, take-down, double-edge",70.0,100.0,70.0,105.0,75.0,40.0,460.0,fire,ground,1.9,220.0,60.94182825484765,1.4285714285714286,1.4
324,torkoal,165,5,804,fire,"white-smoke, drought, shell-armor","headbutt, body-slam, take-down, double-edge, ember",70.0,85.0,140.0,85.0,70.0,20.0,470.0,fire,,0.5,80.4,321.6,0.6071428571428571,1.2142857142857142
325,spoink,66,7,306,psychic,"thick-fat, own-tempo, gluttony","whirlwind, headbutt, body-slam, take-down, double-edge",60.0,25.0,35.0,70.0,80.0,60.0,330.0,psychic,,0.7,30.6,62.448979591836746,0.7142857142857143,0.875
326,grumpig,165,9,715,psychic,"thick-fat, own-tempo, gluttony","mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick",80.0,45.0,65.0,90.0,110.0,80.0,470.0,psychic,,0.9,71.5,88.2716049382716,0.6923076923076923,0.8181818181818182
327,spinda,126,11,50,normal,"own-tempo, tangled-feet, contrary","mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick",60.0,60.0,60.0,60.0,60.0,60.0,360.0,normal,,1.1,5.0,4.132231404958677,1.0,1.0
328,trapinch,58,7,150,ground,"hyper-cutter, arena-trap, sheer-force","gust, sand-attack, headbutt, body-slam, take-down",45.0,100.0,45.0,45.0,45.0,10.0,290.0,ground,,0.7,15.0,30.612244897959187,2.2222222222222223,1.0
329,vibrava,119,11,153,"ground, dragon",levitate,"gust, fly, sand-attack, headbutt, body-slam",50.0,70.0,50.0,50.0,50.0,70.0,340.0,ground,dragon,1.1,15.3,12.644628099173552,1.4,1.0
330,flygon,234,20,820,"ground, dragon",levitate,"mega-punch, fire-punch, thunder-punch, gust, fly",80.0,100.0,80.0,80.0,80.0,100.0,520.0,ground,dragon,2.0,82.0,20.5,1.25,1.0
331,cacnea,67,4,513,grass,"sand-veil, water-absorb","mega-punch, thunder-punch, swords-dance, cut, sand-attack",50.0,85.0,40.0,85.0,40.0,35.0,335.0,grass,,0.4,51.3,320.62499999999994,2.125,2.125
332,cacturne,166,13,774,"grass, dark","sand-veil, water-absorb","mega-punch, thunder-punch, swords-dance, cut, mega-kick",70.0,115.0,60.0,115.0,60.0,55.0,475.0,grass,dark,1.3,77.4,45.798816568047336,1.9166666666666667,1.9166666666666667
333,swablu,62,4,12,"normal, flying","natural-cure, cloud-nine","fly, fury-attack, body-slam, take-down, double-edge",45.0,40.0,60.0,40.0,75.0,50.0,310.0,normal,flying,0.4,1.2,7.499999999999998,0.6666666666666666,0.5333333333333333
334,altaria,172,11,206,"dragon, flying","natural-cure, cloud-nine","fly, fury-attack, body-slam, take-down, double-edge",75.0,70.0,90.0,70.0,105.0,80.0,490.0,dragon,flying,1.1,20.6,17.02479338842975,0.7777777777777778,0.6666666666666666
335,zangoose,160,13,403,normal,"immunity, toxic-boost","mega-punch, fire-punch, ice-punch, thunder-punch, scratch",73.0,115.0,60.0,60.0,60.0,90.0,458.0,normal,,1.3,40.3,23.846153846153843,1.9166666666666667,1.0
336,seviper,160,27,525,poison,"shed-skin, infiltrator","swords-dance, bind, headbutt, body-slam, wrap",73.0,100.0,60.0,100.0,60.0,65.0,458.0,poison,,2.7,52.5,7.201646090534979,1.6666666666666667,1.6666666666666667
337,lunatone,161,10,1680,"rock, psychic",levitate,"tackle, body-slam, double-edge, ice-beam, blizzard",90.0,55.0,65.0,95.0,85.0,70.0,460.0,rock,psychic,1.0,168.0,168.0,0.8461538461538461,1.1176470588235294
338,solrock,161,12,1540,"rock, psychic",levitate,"swords-dance, tackle, body-slam, double-edge, flamethrower",90.0,95.0,85.0,55.0,65.0,70.0,460.0,rock,psychic,1.2,154.0,106.94444444444444,1.1176470588235294,0.8461538461538461
339,barboach,58,4,19,"water, ground","oblivious, anticipation, hydration","headbutt, take-down, thrash, double-edge, water-gun",50.0,48.0,43.0,46.0,41.0,60.0,288.0,water,ground,0.4,1.9,11.874999999999996,1.1162790697674418,1.1219512195121952
340,whiscash,164,9,236,"water, ground","oblivious, anticipation, hydration","headbutt, body-slam, take-down, thrash, double-edge",110.0,78.0,73.0,76.0,71.0,60.0,468.0,water,ground,0.9,23.6,29.135802469135804,1.0684931506849316,1.0704225352112675
341,corphish,62,6,115,water,"hyper-cutter, shell-armor, adaptability","vice-grip, guillotine, swords-dance, cut, body-slam",43.0,80.0,65.0,50.0,35.0,35.0,308.0,water,,0.6,11.5,31.944444444444446,1.2307692307692308,1.4285714285714286
342,crawdaunt,164,11,328,"water, dark","hyper-cutter, shell-armor, adaptability","vice-grip, guillotine, swords-dance, cut, body-slam",63.0,120.0,85.0,90.0,55.0,55.0,468.0,water,dark,1.1,32.8,27.10743801652892,1.411764705882353,1.6363636363636365
343,baltoy,60,5,215,"ground, psychic",levitate,"headbutt, double-edge, ice-beam, psybeam, solar-beam",40.0,40.0,55.0,40.0,70.0,55.0,300.0,ground,psychic,0.5,21.5,86.0,0.7272727272727273,0.5714285714285714
344,claydol,175,15,1080,"ground, psychic",levitate,"headbutt, double-edge, ice-beam, psybeam, hyper-beam",60.0,70.0,105.0,70.0,120.0,75.0,500.0,ground,psychic,1.5,108.0,48.0,0.6666666666666666,0.5833333333333334
345,lileep,71,10,238,"rock, grass","suction-cups, storm-drain","swords-dance, bind, body-slam, wrap, double-edge",66.0,41.0,77.0,61.0,87.0,23.0,355.0,rock,grass,1.0,23.8,23.8,0.5324675324675324,0.7011494252873564
346,cradily,173,15,604,"rock, grass","suction-cups, storm-drain","swords-dance, bind, headbutt, body-slam, wrap",86.0,81.0,97.0,81.0,107.0,43.0,495.0,rock,grass,1.5,60.4,26.844444444444445,0.8350515463917526,0.7570093457943925
347,anorith,71,7,125,"rock, bug","battle-armor, swift-swim","scratch, swords-dance, cut, sand-attack, headbutt",45.0,95.0,50.0,40.0,50.0,75.0,355.0,rock,bug,0.7,12.5,25.510204081632658,1.9,0.8
348,armaldo,173,15,682,"rock, bug","battle-armor, swift-swim","scratch, swords-dance, cut, headbutt, body-slam",75.0,125.0,100.0,70.0,80.0,45.0,495.0,rock,bug,1.5,68.2,30.311111111111114,1.25,0.875
349,feebas,40,6,74,water,"swift-swim, oblivious, adaptability","tackle, double-edge, mist, surf, ice-beam",20.0,15.0,20.0,10.0,55.0,80.0,200.0,water,,0.6,7.4,20.555555555555557,0.75,0.18181818181818182
350,milotic,189,62,1620,water,"marvel-scale, competitive, cute-charm","bind, tackle, body-slam, wrap, take-down",95.0,60.0,79.0,100.0,125.0,81.0,540.0,water,,6.2,162.0,4.2143600416233085,0.759493670886076,0.8
351,castform,147,3,8,normal,forecast,"headbutt, tackle, body-slam, double-edge, disable",70.0,70.0,70.0,70.0,70.0,70.0,420.0,normal,,0.3,0.8,8.88888888888889,1.0,1.0
352,kecleon,154,10,220,normal,"color-change, protean","mega-punch, fire-punch, ice-punch, thunder-punch, scratch",60.0,90.0,70.0,60.0,120.0,40.0,440.0,normal,,1.0,22.0,22.0,1.2857142857142858,0.5
353,shuppet,59,6,23,ghost,"insomnia, frisk, cursed-body","headbutt, body-slam, double-edge, disable, psybeam",44.0,75.0,35.0,63.0,33.0,45.0,295.0,ghost,,0.6,2.3,6.388888888888888,2.142857142857143,1.9090909090909092
354,banette,159,11,125,ghost,"insomnia, frisk, cursed-body","swords-dance, headbutt, body-slam, double-edge, psybeam",64.0,115.0,65.0,83.0,63.0,65.0,455.0,ghost,,1.1,12.5,10.330578512396693,1.7692307692307692,1.3174603174603174
355,duskull,59,8,150,ghost,"levitate, frisk","headbutt, body-slam, double-edge, leer, disable",20.0,40.0,90.0,30.0,90.0,25.0,295.0,ghost,,0.8,15.0,23.437499999999996,0.4444444444444444,0.3333333333333333
356,dusclops,159,16,306,ghost,"pressure, frisk","mega-punch, fire-punch, ice-punch, thunder-punch, bind",40.0,70.0,130.0,60.0,130.0,25.0,455.0,ghost,,1.6,30.6,11.953124999999998,0.5384615384615384,0.46153846153846156
357,tropius,161,20,1000,"grass, flying","chlorophyll, solar-power, harvest","razor-wind, swords-dance, cut, gust, whirlwind",99.0,68.0,83.0,72.0,87.0,51.0,460.0,grass,flying,2.0,100.0,25.0,0.8192771084337349,0.8275862068965517
358,chimecho,159,6,10,psychic,levitate,"bind, tackle, wrap, take-down, double-edge",75.0,50.0,80.0,95.0,90.0,65.0,455.0,psychic,,0.6,1.0,2.7777777777777777,0.625,1.0555555555555556
359,absol,163,12,470,dark,"pressure, super-luck, justified","scratch, razor-wind, swords-dance, cut, headbutt",65.0,130.0,60.0,75.0,60.0,75.0,465.0,dark,,1.2,47.0,32.63888888888889,2.1666666666666665,1.25
360,wynaut,52,6,140,psychic,"shadow-tag, telepathy","counter, amnesia, splash, destiny-bond, charm",95.0,23.0,48.0,23.0,48.0,23.0,260.0,psychic,,0.6,14.0,38.88888888888889,0.4791666666666667,0.4791666666666667
361,snorunt,60,7,168,ice,"inner-focus, ice-body, moody","headbutt, body-slam, take-down, double-edge, leer",50.0,50.0,50.0,50.0,50.0,50.0,300.0,ice,,0.7,16.8,34.28571428571429,1.0,1.0
362,glalie,168,15,2565,ice,"inner-focus, ice-body, moody","headbutt, body-slam, take-down, double-edge, leer",80.0,80.0,80.0,80.0,80.0,80.0,480.0,ice,,1.5,256.5,114.0,1.0,1.0
363,spheal,58,8,395,"ice, water","thick-fat, ice-body, oblivious","headbutt, body-slam, double-edge, growl, water-gun",70.0,40.0,50.0,55.0,50.0,25.0,290.0,ice,water,0.8,39.5,61.718749999999986,0.8,1.1
364,sealeo,144,11,876,"ice, water","thick-fat, ice-body, oblivious","headbutt, body-slam, double-edge, growl, roar",90.0,60.0,70.0,75.0,70.0,45.0,410.0,ice,water,1.1,87.6,72.39669421487602,0.8571428571428571,1.0714285714285714
365,walrein,239,14,1506,"ice, water","thick-fat, ice-body, oblivious","swords-dance, headbutt, body-slam, double-edge, growl",110.0,80.0,90.0,95.0,90.0,65.0,530.0,ice,water,1.4,150.6,76.83673469387756,0.8888888888888888,1.0555555555555556
366,clamperl,69,4,525,water,"shell-armor, rattled","body-slam, double-edge, supersonic, water-gun, surf",35.0,64.0,85.0,74.0,55.0,32.0,345.0,water,,0.4,52.5,328.12499999999994,0.7529411764705882,1.3454545454545455
367,huntail,170,17,270,water,"swift-swim, water-veil","bind, body-slam, double-edge, bite, water-gun",55.0,104.0,105.0,94.0,75.0,52.0,485.0,water,,1.7,27.0,9.34256055363322,0.9904761904761905,1.2533333333333334
368,gorebyss,170,18,226,water,"swift-swim, hydration","bind, body-slam, double-edge, water-gun, hydro-pump",55.0,84.0,105.0,114.0,75.0,52.0,485.0,water,,1.8,22.6,6.9753086419753085,0.8,1.52
369,relicanth,170,10,234,"water, rock","swift-swim, rock-head, sturdy","headbutt, tackle, body-slam, take-down, double-edge",100.0,90.0,130.0,45.0,65.0,55.0,485.0,water,rock,1.0,23.4,23.4,0.6923076923076923,0.6923076923076923
370,luvdisc,116,6,87,water,"swift-swim, hydration","tackle, take-down, double-edge, supersonic, water-gun",43.0,30.0,55.0,40.0,65.0,97.0,330.0,water,,0.6,8.7,24.166666666666664,0.5454545454545454,0.6153846153846154
371,bagon,60,6,421,dragon,"rock-head, sheer-force","cut, headbutt, body-slam, take-down, thrash",45.0,75.0,60.0,40.0,30.0,50.0,300.0,dragon,,0.6,42.1,116.94444444444446,1.25,1.3333333333333333
372,shelgon,147,11,1105,dragon,"rock-head, overcoat","cut, headbutt, body-slam, take-down, double-edge",65.0,95.0,100.0,60.0,50.0,50.0,420.0,dragon,,1.1,110.5,91.32231404958677,0.95,1.2
373,salamence,270,15,1026,"dragon, flying","intimidate, moxie","cut, fly, headbutt, body-slam, take-down",95.0,135.0,80.0,110.0,80.0,100.0,600.0,dragon,flying,1.5,102.6,45.599999999999994,1.6875,1.375
374,beldum,60,6,952,"steel, psychic","clear-body, light-metal","headbutt, tackle, take-down, iron-defense, zen-headbutt",40.0,55.0,80.0,35.0,60.0,30.0,300.0,steel,psychic,0.6,95.2,264.44444444444446,0.6875,0.5833333333333334
375,metang,147,12,2025,"steel, psychic","clear-body, light-metal","ice-punch, thunder-punch, cut, headbutt, tackle",60.0,75.0,100.0,55.0,80.0,50.0,420.0,steel,psychic,1.2,202.5,140.625,0.75,0.6875
376,metagross,270,16,5500,"steel, psychic","clear-body, light-metal","ice-punch, thunder-punch, cut, headbutt, tackle",80.0,135.0,130.0,95.0,90.0,70.0,600.0,steel,psychic,1.6,550.0,214.84374999999997,1.0384615384615385,1.0555555555555556
377,regirock,261,17,2300,rock,"clear-body, sturdy","mega-punch, fire-punch, ice-punch, thunder-punch, stomp",80.0,100.0,200.0,50.0,100.0,50.0,580.0,rock,,1.7,230.0,79.5847750865052,0.5,0.5
378,regice,261,18,1750,ice,"clear-body, ice-body","mega-punch, ice-punch, thunder-punch, stomp, mega-kick",80.0,50.0,100.0,100.0,200.0,50.0,580.0,ice,,1.8,175.0,54.01234567901234,0.5,0.5
379,registeel,261,19,2050,steel,"clear-body, light-metal","mega-punch, ice-punch, thunder-punch, stomp, mega-kick",80.0,75.0,150.0,75.0,150.0,50.0,580.0,steel,,1.9,205.0,56.78670360110804,0.5,0.5
380,latias,270,14,400,"dragon, psychic",levitate,"cut, fly, body-slam, take-down, double-edge",80.0,80.0,90.0,110.0,130.0,110.0,600.0,dragon,psychic,1.4,40.0,20.408163265306126,0.8888888888888888,0.8461538461538461
381,latios,270,20,600,"dragon, psychic",levitate,"cut, fly, body-slam, take-down, double-edge",80.0,90.0,80.0,130.0,110.0,110.0,600.0,dragon,psychic,2.0,60.0,15.0,1.125,1.1818181818181819
382,kyogre,302,45,3520,water,drizzle,"headbutt, body-slam, take-down, double-edge, roar",100.0,100.0,90.0,150.0,140.0,90.0,670.0,water,,4.5,352.0,17.382716049382715,1.1111111111111112,1.0714285714285714
383,groudon,302,35,9500,ground,drought,"mega-punch, fire-punch, thunder-punch, swords-dance, cut",100.0,150.0,140.0,100.0,90.0,90.0,670.0,ground,,3.5,950.0,77.55102040816327,1.0714285714285714,1.1111111111111112
384,rayquaza,306,70,2065,"dragon, flying",air-lock,"swords-dance, fly, bind, headbutt, body-slam",105.0,150.0,90.0,150.0,90.0,95.0,680.0,dragon,flying,7.0,206.5,4.214285714285714,1.6666666666666667,1.6666666666666667
385,jirachi,270,3,11,"steel, psychic",serene-grace,"mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick",100.0,100.0,100.0,100.0,100.0,100.0,600.0,steel,psychic,0.3,1.1,12.222222222222223,1.0,1.0
386,deoxys-normal,270,17,608,psychic,pressure,"fire-punch, ice-punch, thunder-punch, cut, bind",50.0,150.0,50.0,150.0,50.0,150.0,600.0,psychic,,1.7,60.8,21.038062283737027,3.0,3.0
387,turtwig,64,4,102,grass,"overgrow, shell-armor","swords-dance, cut, headbutt, tackle, body-slam",55.0,68.0,64.0,45.0,55.0,31.0,318.0,grass,,0.4,10.2,63.749999999999986,1.0625,0.8181818181818182
388,grotle,142,11,970,grass,"overgrow, shell-armor","swords-dance, cut, headbutt, tackle, body-slam",75.0,89.0,85.0,55.0,65.0,36.0,405.0,grass,,1.1,97.0,80.16528925619834,1.0470588235294118,0.8461538461538461
389,torterra,236,22,3100,"grass, ground","overgrow, shell-armor","swords-dance, cut, headbutt, tackle, body-slam",95.0,109.0,105.0,75.0,85.0,56.0,525.0,grass,ground,2.2,310.0,64.0495867768595,1.0380952380952382,0.8823529411764706
390,chimchar,62,5,62,fire,"blaze, iron-fist","fire-punch, thunder-punch, scratch, swords-dance, cut",44.0,58.0,44.0,58.0,44.0,61.0,309.0,fire,,0.5,6.2,24.8,1.3181818181818181,1.3181818181818181
391,monferno,142,9,220,"fire, fighting","blaze, iron-fist","fire-punch, thunder-punch, scratch, swords-dance, cut",64.0,78.0,52.0,78.0,52.0,81.0,405.0,fire,fighting,0.9,22.0,27.160493827160494,1.5,1.5
392,infernape,240,12,550,"fire, fighting","blaze, iron-fist","fire-punch, thunder-punch, scratch, swords-dance, cut",76.0,104.0,71.0,104.0,71.0,108.0,534.0,fire,fighting,1.2,55.0,38.19444444444444,1.4647887323943662,1.4647887323943662
393,piplup,63,4,52,water,"torrent, competitive","pound, cut, headbutt, fury-attack, tackle",53.0,51.0,53.0,61.0,56.0,40.0,314.0,water,,0.4,5.2,32.49999999999999,0.9622641509433962,1.0892857142857142
394,prinplup,142,8,230,water,"torrent, competitive","pound, cut, headbutt, fury-attack, tackle",64.0,66.0,68.0,81.0,76.0,50.0,405.0,water,,0.8,23.0,35.93749999999999,0.9705882352941176,1.0657894736842106
395,empoleon,239,17,845,"water, steel","torrent, competitive","pound, swords-dance, cut, headbutt, fury-attack",84.0,86.0,88.0,111.0,101.0,60.0,530.0,water,steel,1.7,84.5,29.238754325259517,0.9772727272727273,1.099009900990099
396,starly,49,3,20,"normal, flying","keen-eye, reckless","gust, wing-attack, whirlwind, fly, sand-attack",40.0,55.0,30.0,30.0,30.0,60.0,245.0,normal,flying,0.3,2.0,22.22222222222222,1.8333333333333333,1.0
397,staravia,119,6,155,"normal, flying","intimidate, reckless","gust, wing-attack, whirlwind, fly, tackle",55.0,75.0,50.0,40.0,40.0,80.0,340.0,normal,flying,0.6,15.5,43.05555555555556,1.5,1.0
398,staraptor,218,12,249,"normal, flying","intimidate, reckless","gust, wing-attack, whirlwind, fly, tackle",85.0,120.0,70.0,50.0,60.0,100.0,485.0,normal,flying,1.2,24.9,17.291666666666668,1.7142857142857142,0.8333333333333334
399,bidoof,50,5,200,normal,"simple, unaware, moody","swords-dance, cut, headbutt, tackle, take-down",59.0,45.0,40.0,35.0,40.0,31.0,250.0,normal,,0.5,20.0,80.0,1.125,0.875
400,bibarel,144,10,315,"normal, water","simple, unaware, moody","swords-dance, cut, headbutt, tackle, take-down",79.0,85.0,60.0,55.0,60.0,71.0,410.0,normal,water,1.0,31.5,31.5,1.4166666666666667,0.9166666666666666
401,kricketot,39,3,22,bug,"shed-skin, run-away","pound, tackle, growl, absorb, string-shot",37.0,25.0,41.0,25.0,41.0,25.0,194.0,bug,,0.3,2.2,24.444444444444446,0.6097560975609756,0.6097560975609756
402,kricketune,134,10,255,bug,"swarm, technician","pound, swords-dance, cut, tackle, take-down",77.0,85.0,51.0,55.0,51.0,65.0,384.0,bug,,1.0,25.5,25.5,1.6666666666666667,1.0784313725490196
403,shinx,53,5,95,electric,"rivalry, intimidate, guts","double-kick, headbutt, tackle, take-down, double-edge",45.0,65.0,34.0,40.0,34.0,45.0,263.0,electric,,0.5,9.5,38.0,1.911764705882353,1.1764705882352942
